Centre,Gender,Labour Category,Labour Type,State,District,Centre_length,Date,Wage
THURINJAPURAM FIELD LABOUR,W,"OTHER 
AGRICULTURAL 
LABOUR",SOWER,TAMIL NADU,TIRUVANNAMALAI,26,Aug-15,116
THURINJAPURAM FIELD LABOUR,M,"OTHER 
AGRICULTURAL 
LABOUR",WEEDER,TAMIL NADU,TIRUVANNAMALAI,26,Aug-15,-
THURINJAPURAM FIELD LABOUR,W,"OTHER 
AGRICULTURAL 
LABOUR",WEEDER,TAMIL NADU,TIRUVANNAMALAI,26,Aug-15,104
THURINJAPURAM FIELD LABOUR,M,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",TAMIL NADU,TIRUVANNAMALAI,26,Aug-15,281
THURINJAPURAM FIELD LABOUR,W,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",TAMIL NADU,TIRUVANNAMALAI,26,Aug-15,142
UTTAR DINAJPUR FIELD LABOUR,M,"SKILLED 
LABOUR",PLOUGHMAN,WEST BENGAL,"UTTAR 
DINAJPUR",27,Aug-15,-
UTTAR DINAJPUR FIELD LABOUR,W,"SKILLED 
LABOUR",PLOUGHMAN,WEST BENGAL,"UTTAR 
DINAJPUR",27,Aug-15,-
UTTAR DINAJPUR FIELD LABOUR,M,"SKILLED 
LABOUR","REAPER & 
HARVESTER",WEST BENGAL,"UTTAR 
DINAJPUR",27,Aug-15,-
UTTAR DINAJPUR FIELD LABOUR,W,"SKILLED 
LABOUR","REAPER & 
HARVESTER",WEST BENGAL,"UTTAR 
DINAJPUR",27,Aug-15,-
UTTAR DINAJPUR FIELD LABOUR,M,"SKILLED 
LABOUR",SOWER,WEST BENGAL,"UTTAR 
DINAJPUR",27,Aug-15,-
UTTAR DINAJPUR FIELD LABOUR,W,"SKILLED 
LABOUR",SOWER,WEST BENGAL,"UTTAR 
DINAJPUR",27,Aug-15,-
UTTAR DINAJPUR FIELD LABOUR,M,"SKILLED 
LABOUR",WEEDER,WEST BENGAL,"UTTAR 
DINAJPUR",27,Aug-15,-
UTTAR DINAJPUR FIELD LABOUR,W,"SKILLED 
LABOUR",WEEDER,WEST BENGAL,"UTTAR 
DINAJPUR",27,Aug-15,-
UTTAR DINAJPUR FIELD LABOUR,M,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",WEST BENGAL,"UTTAR 
DINAJPUR",27,Aug-15,-
UTTAR DINAJPUR FIELD LABOUR,W,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",WEST BENGAL,"UTTAR 
DINAJPUR",27,Aug-15,-
UTTAR DINAJPUR FIELD LABOUR,M,"SKILLED 
LABOUR",BLACKSMITH,WEST BENGAL,"UTTAR 
DINAJPUR",27,Aug-15,-
UTTAR DINAJPUR FIELD LABOUR,W,"SKILLED 
LABOUR",BLACKSMITH,WEST BENGAL,"UTTAR 
DINAJPUR",27,Aug-15,-
UTTAR DINAJPUR FIELD LABOUR,M,"SKILLED 
LABOUR",CARPENTER,WEST BENGAL,"UTTAR 
DINAJPUR",27,Aug-15,-
UTTAR DINAJPUR FIELD LABOUR,W,"SKILLED 
LABOUR",CARPENTER,WEST BENGAL,"UTTAR 
DINAJPUR",27,Aug-15,-
UTTAR DINAJPUR FIELD LABOUR,M,"SKILLED 
LABOUR",COBBLER,WEST BENGAL,"UTTAR 
DINAJPUR",27,Aug-15,-
UTTAR DINAJPUR FIELD LABOUR,W,"SKILLED 
LABOUR",COBBLER,WEST BENGAL,"UTTAR 
DINAJPUR",27,Aug-15,-
KOYYALAGUDEM FIELD LABOUR,M,"OTHER 
AGRICULTURAL 
LABOUR",FIELD LABOUR,ANDHRA PRADESH,WEST GODAVARI,25,Sep-15,375
KOYYALAGUDEM FIELD LABOUR,W,"OTHER 
AGRICULTURAL 
LABOUR",FIELD LABOUR,ANDHRA PRADESH,WEST GODAVARI,25,Sep-15,316
KOYYALAGUDEM FIELD LABOUR,M,"OTHER 
AGRICULTURAL 
LABOUR",PLOUGHMAN,ANDHRA PRADESH,WEST GODAVARI,25,Sep-15,-
KOYYALAGUDEM FIELD LABOUR,W,"OTHER 
AGRICULTURAL 
LABOUR",PLOUGHMAN,ANDHRA PRADESH,WEST GODAVARI,25,Sep-15,-
KOYYALAGUDEM FIELD LABOUR,M,HERDSMEN,HERDSMEN,ANDHRA PRADESH,WEST GODAVARI,25,Sep-15,283
KOYYALAGUDEM FIELD LABOUR,W,HERDSMEN,HERDSMEN,ANDHRA PRADESH,WEST GODAVARI,25,Sep-15,200
KOYYALAGUDEM FIELD LABOUR,M,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",ANDHRA PRADESH,WEST GODAVARI,25,Sep-15,300
KOYYALAGUDEM FIELD LABOUR,W,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",ANDHRA PRADESH,WEST GODAVARI,25,Sep-15,250
KOYYALAGUDEM FIELD LABOUR,M,"SKILLED 
LABOUR",BLACKSMITH,ANDHRA PRADESH,WEST GODAVARI,25,Sep-15,350
KOYYALAGUDEM FIELD LABOUR,W,"SKILLED 
LABOUR",BLACKSMITH,ANDHRA PRADESH,WEST GODAVARI,25,Sep-15,-
MANGALAPURAM FIELD LABOUR,M,"OTHER 
AGRICULTURAL 
LABOUR","REAPER & 
HARVESTER",TAMIL NADU,NANAKKAL,25,Sep-15,250
MANGALAPURAM FIELD LABOUR,W,"OTHER 
AGRICULTURAL 
LABOUR","REAPER & 
HARVESTER",TAMIL NADU,NANAKKAL,25,Sep-15,137
MANGALAPURAM FIELD LABOUR,M,"OTHER 
AGRICULTURAL 
LABOUR",SOWER,TAMIL NADU,NANAKKAL,25,Sep-15,300
MANGALAPURAM FIELD LABOUR,W,"OTHER 
AGRICULTURAL 
LABOUR",SOWER,TAMIL NADU,NANAKKAL,25,Sep-15,132
MANGALAPURAM FIELD LABOUR,M,"OTHER 
AGRICULTURAL 
LABOUR",WEEDER,TAMIL NADU,NANAKKAL,25,Sep-15,-
MANGALAPURAM FIELD LABOUR,W,"OTHER 
AGRICULTURAL 
LABOUR",WEEDER,TAMIL NADU,NANAKKAL,25,Sep-15,142
MANGALAPURAM FIELD LABOUR,M,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",TAMIL NADU,NANAKKAL,25,Sep-15,319
MANGALAPURAM FIELD LABOUR,W,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",TAMIL NADU,NANAKKAL,25,Sep-15,-
THURINJAPURAM FIELD LABOUR,M,"OTHER 
AGRICULTURAL 
LABOUR",PLOUGHMAN,TAMIL NADU,TIRUVANNAMALAI,26,Sep-15,380
THURINJAPURAM FIELD LABOUR,W,"OTHER 
AGRICULTURAL 
LABOUR",PLOUGHMAN,TAMIL NADU,TIRUVANNAMALAI,26,Sep-15,-
THURINJAPURAM FIELD LABOUR,M,"OTHER 
AGRICULTURAL 
LABOUR","REAPER & 
HARVESTER",TAMIL NADU,TIRUVANNAMALAI,26,Sep-15,281
THURINJAPURAM FIELD LABOUR,W,"OTHER 
AGRICULTURAL 
LABOUR","REAPER & 
HARVESTER",TAMIL NADU,TIRUVANNAMALAI,26,Sep-15,137
THURINJAPURAM FIELD LABOUR,M,"OTHER 
AGRICULTURAL 
LABOUR",SOWER,TAMIL NADU,TIRUVANNAMALAI,26,Sep-15,275
THURINJAPURAM FIELD LABOUR,W,"OTHER 
AGRICULTURAL 
LABOUR",SOWER,TAMIL NADU,TIRUVANNAMALAI,26,Sep-15,116
THURINJAPURAM FIELD LABOUR,M,"OTHER 
AGRICULTURAL 
LABOUR",WEEDER,TAMIL NADU,TIRUVANNAMALAI,26,Sep-15,-
THURINJAPURAM FIELD LABOUR,W,"OTHER 
AGRICULTURAL 
LABOUR",WEEDER,TAMIL NADU,TIRUVANNAMALAI,26,Sep-15,104
THURINJAPURAM FIELD LABOUR,M,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",TAMIL NADU,TIRUVANNAMALAI,26,Sep-15,280
THURINJAPURAM FIELD LABOUR,W,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",TAMIL NADU,TIRUVANNAMALAI,26,Sep-15,118
UTTAR DINAJPUR FIELD LABOUR,M,"SKILLED 
LABOUR",PLOUGHMAN,WEST BENGAL,"UTTAR 
DINAJPUR",27,Sep-15,-
UTTAR DINAJPUR FIELD LABOUR,W,"SKILLED 
LABOUR",PLOUGHMAN,WEST BENGAL,"UTTAR 
DINAJPUR",27,Sep-15,-
UTTAR DINAJPUR FIELD LABOUR,M,"SKILLED 
LABOUR","REAPER & 
HARVESTER",WEST BENGAL,"UTTAR 
DINAJPUR",27,Sep-15,-
UTTAR DINAJPUR FIELD LABOUR,W,"SKILLED 
LABOUR","REAPER & 
HARVESTER",WEST BENGAL,"UTTAR 
DINAJPUR",27,Sep-15,-
UTTAR DINAJPUR FIELD LABOUR,M,"SKILLED 
LABOUR",SOWER,WEST BENGAL,"UTTAR 
DINAJPUR",27,Sep-15,-
UTTAR DINAJPUR FIELD LABOUR,W,"SKILLED 
LABOUR",SOWER,WEST BENGAL,"UTTAR 
DINAJPUR",27,Sep-15,-
UTTAR DINAJPUR FIELD LABOUR,M,"SKILLED 
LABOUR",WEEDER,WEST BENGAL,"UTTAR 
DINAJPUR",27,Sep-15,-
UTTAR DINAJPUR FIELD LABOUR,W,"SKILLED 
LABOUR",WEEDER,WEST BENGAL,"UTTAR 
DINAJPUR",27,Sep-15,-
UTTAR DINAJPUR FIELD LABOUR,M,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",WEST BENGAL,"UTTAR 
DINAJPUR",27,Sep-15,-
UTTAR DINAJPUR FIELD LABOUR,W,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",WEST BENGAL,"UTTAR 
DINAJPUR",27,Sep-15,-
